127.0.0.1 - - [30/Nov/2017:17:42:20 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:42:21 +0900] "GET /BBS/WEB-INF/write.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:42:36 +0900] "GET /BBS/WEB-INF/write.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:42:43 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:42:43 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:42:43 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:43:54 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:43:54 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:43:54 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:43:55 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:44:08 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:44:22 +0900] "GET /BBS/mai.jsp HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:44:26 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:44:28 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:44:31 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:44:33 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3009
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:44:35 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:44:36 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:01:00 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:01:01 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:01:07 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 500 5144
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:01:43 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 500 5144
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:02:07 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 500 5144
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:02:09 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:02:13 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 500 5144
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:03:14 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 500 5144
